Category     Name                                     Status    Patches  Detours  D:Fail  D:Act  
AI           EngieBot_Dispensers                      FAILED    0        7        5       0      
AI           EngieBot_NoPush                          DISABLED  0        5        1       0      
AI           EngieBot_Wrangler                        DISABLED  0        4        2       0      
AI           Focus_One_Player                         DISABLED  0        1        0       0      
AI           Giant_Pyro                               DISABLED  0        3        1       0      
AI           Improved_Targeting                       DISABLED  0        7        5       0      
AI           Improved_UseItem                         DISABLED  0        3        2       0      
AI           My_Nextbot                               FAILED    0        6        3       0      
AI           My_Nextbot_Unlag                         DISABLED  0        2        1       0      
AI           My_Nextbot_UnlagNPCGlobal                DISABLED  0        1        1       0      
AI           NextBotEventResponder_Hooks              DISABLED  0        0        0       0      
AI           Prevent_Postmortem_Updates               DISABLED  0        1        0       0      
AI           Puppet                                   DISABLED  0        1        1       0      
AI           RocketJump                               DISABLED  0        4        0       0      
AI           WrapAssassin_AltFire                     DISABLED  0        2        2       0      
Anim         EstimateAbsVelocity_MoveParent_Fix       UNLOADED  0        1        1       0      
Anim         Player_UpdateModel_AnimState_Fix         DISABLED  0        1        1       0      
Attr         BlockBackstab_OldStyle                   DISABLED  0        3        1       0      
Attr         CustomProjectileModel_Precache           DISABLED  0        7        4       0      
Attr         Custom_Attributes                        FAILED    0        298      172     0      
Attr         HealOnKill_Overheal_Melee                DISABLED  0        2        0       0      
Attr         Undocumented                             DISABLED  0        1        0       0      
Bot          Bot_Player_Slot_Reorder                  DISABLED  0        2        2       0      
Bot          IsSpaceToSpawnHere_Scale                 DISABLED  0        6        4       0      
Bot          Kart_Locomotion                          DISABLED  0        3        1       0      
Bot          Kill_Before_ForceSpec                    DISABLED  0        1        0       0      
Bot          Medieval_NonMelee                        FAILED    1        1        0       0      
Bot          MultiClass_Weapon                        DISABLED  0        0        0       0      
Bot          RunFast                                  FAILED    1        3        0       0      
Bot          Spy_MedicHeal                            DISABLED  0        0        0       0      
Bot          Spy_SelectRandomReachableEnemy           DISABLED  0        3        2       0      
Canteen      Share_Recall_Canteen                     DISABLED  0        2        0       0      
Common       Commands                                 OK        0        3        0       3      
Common       ExtraEntityData                          OK        0        1        1       0      
Common       Interrupt_Action                         OK        0        1        0       1      
Common       Text_Hud                                 OK        0        0        0       0      
Common       Weapon_Shoot                             DISABLED  0        21       14      0      
Cond         Enhanced_Cmds                            DISABLED  0        1        0       0      
Cond         Reprogrammed                             FAILED    4        38       14      0      
Credits      Better_Radius_Collection                 DISABLED  0        1        1       0      
Credits      Spawn_AutoCollect                        DISABLED  0        1        0       0      
Debug        UserMsg_Overflow                         DISABLED  0        3        0       0      
Demo         StringTable_Limit                        DISABLED  0        6        3       0      
Etc          Allow_Civilian_Class                     FAILED    1        2        0       0      
Etc          Crash_Fixes                              DISABLED  0        3        1       0      
Etc          Crash_Fixes                              DISABLED  0        4        2       0      
Etc          CrayAirblast_ConVar_NoCheat              DISABLED  0        0        0       0      
Etc          Deflect_Rocket_Spew                      DISABLED  0        1        0       0      
Etc          Detector                                 DISABLED  0        18       8       0      
Etc          Entity_Limit_Manager                     DISABLED  0        11       9       0      
Etc          Entity_Limit_Manager_Convert_Serverside  DISABLED  0        24       21      0      
Etc          Heat_Seeking_Rockets                     DISABLED  0        5        3       0      
Etc          Holiday_Items_Allow                      DISABLED  0        2        1       0      
Etc          Huntsman_Damage_Fix                      DISABLED  0        3        1       0      
Etc          Instant_Scaling                          DISABLED  0        1        0       0      
Etc          LaserDot_Fix                             UNLOADED  0        1        1       0      
Etc          Limp_Projectiles                         DISABLED  0        1        1       0      
Etc          Loose_Cannon_Damage_Fix                  DISABLED  0        2        0       0      
Etc          MM_Spoof                                 DISABLED  0        1        1       0      
Etc          Mapentity_Additions                      DISABLED  0        67       32      0      
Etc          Medicgun_Beam_Machinery                  DISABLED  0        1        0       0      
Etc          Melee_Ignore_Teammates                   DISABLED  0        5        1       0      
Etc          Misc                                     DISABLED  0        16       10      0      
Etc          Misc                                     DISABLED  0        1        1       0      
Etc          Nav_UpdateBlocked                        DISABLED  0        0        0       0      
Etc          Nav_UpdateBlocked_Visualize              DISABLED  0        0        0       0      
Etc          Override_Move_Speed                      FAILED    1        1        0       0      
Etc          Player_Bullet_Bounding_Fix               DISABLED  0        1        1       0      
